"data e hora","caso de teste","mensagem"
"[2021/09/22 22:52:49.018]","Comprar Tênis","Iniciou o teste"
"[2021/09/22 22:52:59.749]","Comprar Tênis","Abriu o site"
"[2021/09/22 22:53:00.793]","Comprar Tênis","Clicou na caixa de Pesquisa"
"[2021/09/22 22:53:05.319]","Comprar Tênis","Escreveu Tenis Superstar"
"[2021/09/22 22:53:06.645]","Comprar Tênis","Dou enter"
"[2021/09/22 22:53:12.968]","Comprar Tênis","Confirmou o texto da pesquisa de Tenis Superstar"
"[2021/09/22 22:53:18.095]","Comprar Tênis","Clicou no item pesquisado"
"[2021/09/22 22:53:20.300]","Comprar Tênis","Clico no popup"
"[2021/09/22 22:53:34.784]","Comprar Tênis","Clicou no tamanho desejado"
"[2021/09/22 22:54:42.355]","Comprar Tênis","Clicou em adicionar ao carrinho"
